"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Notes","Series"
"Journal Article","Xiong H,Qin Z,Li F","An Improved Certificateless Signature Scheme Secure in the Standard Model","Fundam. Inf.","2008","88","1–2","193–206","IOS Press","NLD","","","2008-12","","0169-2968","","","In ASIACCS 2007, Liu et al proposed a certificateless signature scheme which is provably secure in the standard model. However, as we will show in this paper, the proposed scheme is insecure against a malicious-but-passive KGC attack. This implies that the malicious-but-passive KGC, which generates system parameters based on the information of the target user, can forge valid signatures for that signer without being detected. Furthermore, we propose an improved scheme that remedies the weakness of Liu et al's scheme. The improved scheme can be proven secure against malicious-but-passive KGC attack in the standard model.","standard model, certificateless signature, attack model","",""
"Conference Paper","Drichel A,Drury V,von Brandt J,Meyer U","Finding Phish in a Haystack: A Pipeline for Phishing Classification on Certificate Transparency Logs","","2021","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 16th International Conference on Availability, Reliability and Security","Vienna, Austria","2021","9781450390514","","https://doi-org.proxy.findit.cvt.dk/10.1145/3465481.3470111;http://dx.doi.org/10.1145/3465481.3470111","10.1145/3465481.3470111","Current popular phishing prevention techniques mainly utilize reactive blocklists, which leave a “window of opportunity” for attackers during which victims are unprotected. One possible approach to shorten this window aims to detect phishing attacks earlier, during website preparation, by monitoring Certificate Transparency (CT) logs. Previous attempts to work with CT log data for phishing classification exist, however they lack evaluations on actual CT log data. In this paper, we present a pipeline that facilitates such evaluations by addressing a number of problems when working with CT log data. The pipeline includes dataset creation, training, and past or live classification of CT logs. Its modular structure makes it possible to easily exchange classifiers or verification sources to support ground truth labeling efforts and classifier comparisons. We test the pipeline on a number of new and existing classifiers, and find a general potential to improve classifiers for this scenario in the future. We publish the source code of the pipeline and the used datasets along with this paper [12], thus making future research in this direction more accessible.","machine learning, certificate transparency, Phishing detection","","ARES '21"
"Journal Article","Xiong H,Qin Z,Li F","An Improved Certificateless Signature Scheme Secure in the Standard Model","Fundam. Inf.","2008","88","1–2","193–206","IOS Press","NLD","","","2008-01","","0169-2968","","","In ASIACCS 2007, Liu et al proposed a certificateless signature scheme which is provably secure in the standard model. However, as we will show in this paper, the proposed scheme is insecure against a malicious-but-passive KGC attack. This implies that the malicious-but-passive KGC, which generates system parameters based on the information of the target user, can forge valid signatures for that signer without being detected. Furthermore, we propose an improved scheme that remedies the weakness of Liu et al's scheme. The improved scheme can be proven secure against malicious-but-passive KGC attack in the standard model.","attack model, standard model, certificateless signature","",""
"Journal Article","Yuan Y","Security Analysis of an Enhanced Certificateless Signcryption in the Standard Model","Wirel. Pers. Commun.","2020","112","1","387–394","Kluwer Academic Publishers","USA","","","2020-05","","0929-6212","https://doi-org.proxy.findit.cvt.dk/10.1007/s11277-020-07031-9;http://dx.doi.org/10.1007/s11277-020-07031-9","10.1007/s11277-020-07031-9","Quite recently, Luo and Wan putted forward a new certificateless signcryption (CLSC) scheme with low computation cost in the standard model. They stated that their newly proposed scheme achieves the unforgeability against adaptive chosen message attack (i.e, unforgeability) and indistinguishability against adaptive chosen ciphertext attack (i.e., confidentiality). However, we find that the scheme cannot reach the claimed security feature. Specifically, in this paper, we will demonstrate that in Luo and Wan’s CLSC scheme, the plaintext can be easily recovered from the ciphertext by ordinary attacker and malicious-but-passive KGC. In addition, we identify that this scheme even cannot resist forgery attack of a malicious KGC.","Message confidentiality, Message unforgeability, Signcryption, Certificateless cryptography, Standard model","",""
"Journal Article","Kim KS,Jeong IR","A New Certificateless Signature Scheme under Enhanced Security Models","Sec. and Commun. Netw.","2015","8","5","801–810","John Wiley & Sons, Inc.","USA","","","2015-03","","1939-0114","","","In identity-based signatures, the key generation center KGC always knows user private key, and thus, it can always impersonate the user. Certificateless signatures were introduced by Al-Riyami and Paterson to solve this key escrow problem of identity-based signatures in 2003. In certificateless signatures, the private key is determined by neither the user nor the KGC. In 2007, Huang et al. revisited the security models of certificateless signatures. They divided potential adversaries according to their attack power into normal, strong and super adversaries. On the other hand, Au et al. introduced a new attack called malicious-but-passive KGC attack in the same year. In the new attack, KGC that holds the master secret key is assumed malicious at the very beginning of the setup phase of the system. The previous schemes that can be proven secure against malicious-but-passive KGC attack provided only the security against strong adversaries. In this paper, we construct the first certificateless signature scheme that can be proven secure against malicious-but-passive KGC attack of super adversaries. Moreover, our scheme is still secure when the adversary is allowed to obtain valid signatures on the target identity and message. Our construction is based on the hard lattice problems in the random oracle model.Copyright © 2014 John Wiley & Sons, Ltd.","certificateless signature, random oracle, lattice, malicious-but-passive KGC attack","",""
"Journal Article","Imghoure A,El-Yahyaoui A,Omary F","ECDSA-Based Certificateless Conditional Privacy-Preserving Authentication Scheme in Vehicular Ad Hoc Network","Veh. Commun.","2022","37","C","","Elsevier Science Publishers B. V.","NLD","","","2022-10","","2214-2096","https://doi-org.proxy.findit.cvt.dk/10.1016/j.vehcom.2022.100504;http://dx.doi.org/10.1016/j.vehcom.2022.100504","10.1016/j.vehcom.2022.100504","","Batch verification, ECDSA, Certificateless cryptography, Public key replacement attack, ECDSA*, Trust level 3","",""
"Journal Article","Marias GF,Papapanagiotou K,Tsetsos V,Sekkas O,Georgiadis P","Integrating a Trust Framework with a Distributed Certificate Validation Scheme for MANETs","EURASIP J. Wirel. Commun. Netw.","2006","2006","2","77","Hindawi Limited","London, GBR","","","2006-04","","1687-1472","https://doi-org.proxy.findit.cvt.dk/10.1155/WCN/2006/78259;http://dx.doi.org/10.1155/WCN/2006/78259","10.1155/WCN/2006/78259","Many trust establishment solutions in mobile ad hoc networks (MANETs) rely on public key certificates. Therefore, they should be accompanied by an efficient mechanism for certificate revocation and validation. Ad hoc distributed OCSP for trust (ADOPT) is a lightweight, distributed, on-demand scheme based on cached OCSP responses, which provides certificate status information to the nodes of a MANET. In this paper we discuss the ADOPT scheme and issues on its deployment over MANETs. We present some possible threats to ADOPT and suggest the use of a trust assessment and establishment framework, named ad hoc trust framework (ATF), to support ADOPT's robustness and efficiency. ADOPT is deployed as a trust-aware application that provides feedback to ATF, which calculates the trustworthiness of the peer nodes' functions and helps ADOPT to improve its performance by rapidly locating valid certificate status information. Moreover, we introduce the TrustSpan algorithm to reduce the overhead that ATF produces, and the TrustPath algorithm to identify and use trusted routes for propagating sensitive information, such as third parties' accusations. Simulation results show that ATF adds limited overhead compared to its efficiency in detecting and isolating malicious and selfish nodes. ADOPT's reliability is increased, since it can rapidly locate a legitimate response by using information provided by ATF.","","",""
"Journal Article","Huang Q,Wong DS","Generic Certificateless Encryption Secure against Malicious-Hut-Passive KGC Attacks in the Standard Model","J. Comput. Sci. Technol.","2010","25","4","807–826","Springer-Verlag","Berlin, Heidelberg","","","2010-07","","1000-9000","","","Despite the large number of certificateless encryption schemes proposed recently, many of them have been found insecure under a practical attack, called malicious-but-passive KGC (Key Generation Center) attack. In this work we propose the first generic construction of certificateless encryption, which can be proven secure against malicious-but-passive KGC attacks in the standard model. In order to encrypt a message of any length, we consider the KEM/DEM (key encapsulation mechanism/data encapsulation mechanism) framework in the certificateless setting, and propose a generic construction of certificateless key encapsulation mechanism (CL-KEM) secure against malicious-but-passive KGC attacks in the standard model. It is based on an identity-based KEM, a public key encryption and a message authentication code. The high efficiency of our construction is due to the efficient implementations of these underlying building blocks, and is comparable to Bentahar et al.'s CL-KEMs, which have only been proven secure under the random oracle model with no consideration of the malicious-but-passive KGC attack. We also introduce the notion of certificateless tag-based KEM (CL-TKEM), which is an extension of Abe et al.'s work to the certificateless setting. We show that an efficient CL-TKEM can be constructed by modifying our CL-KEM scheme. We also show that with a CL-TKEM and a data encapsulation mechanism secure under our proposed security model, an efficient certificateless hybrid encryption can be constructed by applying Abe et al. 's transformation in the certificateless setting.","certificateless encryption, malicious-but-passive KGC attack, key encapsulation mechanism, standard model","",""
"Journal Article","Huang Y,Ma L,Li Y","PatchCensor: Patch Robustness Certification for Transformers via Exhaustive Testing","ACM Trans. Softw. Eng. Methodol.","2023","","","","Association for Computing Machinery","New York, NY, USA","","","2023-04","","1049-331X","https://doi-org.proxy.findit.cvt.dk/10.1145/3591870;http://dx.doi.org/10.1145/3591870","10.1145/3591870","In the past few years, Transformer has been widely adopted in many domains and applications because of its impressive performance. Vision Transformer (ViT), a successful and well-known variant, attracts considerable attention from both industry and academia thanks to its record-breaking performance in various vision tasks. However, ViT is also highly nonlinear like other classical neural networks and could be easily fooled by both natural and adversarial perturbations. This limitation could pose a threat to the deployment of ViT in the real industrial environment, especially in safety-critical scenarios. How to improve the robustness of ViT is thus an urgent issue that needs to be addressed. Among all kinds of robustness, patch robustness is defined as giving a reliable output when a random patch in the input domain is perturbed. The perturbation could be natural corruption, such as part of the camera lens being blurred. It could also be a distribution shift, such as an object that does not exist in the training data suddenly appearing in the camera. And in the worst case, there could be a malicious adversarial patch attack that aims to fool the prediction of a machine learning model by arbitrarily modifying pixels within a restricted region of an input image. This kind of attack is also called physical attack as it is believed to be more real than digital attack. Although there has been some work on patch robustness improvement of Convolutional Neural Network (CNN), related studies on its counterpart ViT are still at an early stage as ViT is usually much more complex with far more parameters. It is harder to assess and improve its robustness, not to mention to provide a provable guarantee. In this work, we propose PatchCensor, aiming to certify the patch robustness of ViT by applying exhaustive testing. We try to provide a provable guarantee by considering the worst patch attack scenarios. Unlike empirical defenses against adversarial patches that may be adaptively breached, certified robust approaches can provide a certified accuracy against arbitrary attacks under certain conditions. However, existing robustness certifications are mostly based on robust training, which often requires substantial training efforts and the sacrifice of model performance on normal samples. To bridge the gap, PatchCensor seeks to improve the robustness of the whole system by detecting abnormal inputs instead of training a robust model and asking it to give reliable results for every input, which may inevitably compromise accuracy. Specifically, each input is tested by voting over multiple inferences with different mutated attention masks, where at least one inference is guaranteed to exclude the abnormal patch. This can be seen as complete-coverage testing, which could provide a statistical guarantee on inference at the test time. Our comprehensive evaluation demonstrates that PatchCensor is able to achieve high certified accuracy (e.g. 67.1% on ImageNet for 2%-pixel adversarial patches), significantly outperforming state-of-the-art techniques while achieving similar clean accuracy (81.8% on ImageNet). The clean accuracy is the same as vanilla ViT models. Meanwhile, our technique also supports flexible configurations to handle different adversarial patch sizes by simply changing the masking strategy.","robustness certification, deep learning, neural networks, Adversarial patch, certified accuracy, vision transformer","Just Accepted",""
"Conference Paper","Li X,Chang KM,Yuan Y,Hauptmann A","Massive Open Online Proctor: Protecting the Credibility of MOOCs Certificates","","2015","","","1129–1137","Association for Computing Machinery","New York, NY, USA","Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work & Social Computing","Vancouver, BC, Canada","2015","9781450329224","","https://doi-org.proxy.findit.cvt.dk/10.1145/2675133.2675245;http://dx.doi.org/10.1145/2675133.2675245","10.1145/2675133.2675245","Massive Open Online Courses (MOOCs) enable everyone to receive high-quality education. However, current MOOC creators cannot provide an effective, economical, and scalable method to detect cheating on tests, which would be required for any certification. In this paper, we propose a Massive Open Online Proctoring (MOOP) framework, which combines both automatic and collaborative approaches to detect cheating behaviors in online tests. The MOOP framework consists of three major components: Automatic Cheating Detector (ACD), Peer Cheating Detector (PCD), and Final Review Committee (FRC). ACD uses webcam video or other sensors to monitor students and automatically flag suspected cheating behavior. Ambiguous cases are then sent to the PCD, where students peer-review flagged webcam video to confirm suspicious cheating behaviors. Finally, the list of suspicious cheating behaviors is sent to the FRC to make the final punishing decision. Our experiment show that ACD and PCD can detect usage of a cheat sheet with good accuracy and can reduce the overall human resources required to monitor MOOCs for cheating.","education, mooc, cheating detection, human computer interaction, machine learning, crowdsourcing","","CSCW '15"
"Journal Article","Zhou C,Cui Z","Certificate‐based Signature Scheme in the Standard Model","IET Information Security","2017","11","5","256–260","John Wiley & Sons, Inc.","USA","","","2017-09","","","https://doi-org.proxy.findit.cvt.dk/10.1049/iet-ifs.2016.0261;http://dx.doi.org/10.1049/iet-ifs.2016.0261","10.1049/iet-ifs.2016.0261","Certificate‐based cryptosystem can eliminate the private key escrow problem inherent in the identity‐based cryptosystem and can simplify the costly certificate management in the traditional public key cryptosystem. In 2016, Lu et al. raised an open problem of whether the certificate‐based signature (CBS) scheme can be proved secure against the malicious‐but‐passive certifier attack. In this study, the authors try to solve this problem. They give an enhanced security model of the CBS scheme which can resist the malicious‐but‐passive certifier attack. Then they propose a concrete CBS scheme in the standard model by using bilinear pairings. They prove the scheme to be secure in the enhanced security model under the Squ‐CDH assumption. In this way, the authors give an affirmative answer to the above open problem. Finally, the authors evaluate the efficiency of the scheme which shows it to be practical. In addition, they find that malicious‐but‐passive certifier security cannot coexist with super adversary security in a CBS scheme in the standard model.","malicious‐but‐passive certifier attack, certificate‐based signature scheme, standard model, private key cryptography, bilinear pairings, Squ‐CDH assumption, CBS scheme, certification, identity‐based cryptosystem, private key escrow problem, certificate‐based cryptosystem, certificate management","",""
"Journal Article","Huang Q,Wong DS","On the Relation among Various Security Models for Certificateless Cryptography","Int. J. Appl. Cryptol.","2008","1","2","108–119","Inderscience Publishers","Geneva 15, CHE","","","2008-11","","1753-0563","https://doi-org.proxy.findit.cvt.dk/10.1504/IJACT.2008.021084;http://dx.doi.org/10.1504/IJACT.2008.021084","10.1504/IJACT.2008.021084","Certificateless cryptography is a promising technology for solving the key escrow problem in identity-based cryptography. However, the lack of a unified set of definitions and security models currently hinders its progression as much effort has been put on refining the definitions and looking for an appropriate and practical security models. In this article, we aim to contribute on unifying the definitions and security models for Certificateless Encryption (CLE) schemes. First, we show that the original seven-algorithm definition is equivalent to a simplified five-algorithm definition. We believe that this simplified definition may lead to more compact and efficient implementations in practice and also help in the effort of standardisation of CLE. Secondly, we show that a CLE scheme cannot be both malicious Key Generation Center (KGC) secure and strongly secure in the standard model. Due to the practicality and attacking significance of malicious KGC security; and the uncertainty of how practical the strong security is, we, therefore, suggest constructing practical CLE schemes to be malicious KGC secure. Finally, we propose to formalise a new adversarial capability called partial key replacement attack into the security models and show that our generic scheme proposed recently is secure against this new type of attacks.","certificateless encryption, identity-based cryptography, malicious key generation centre, key escrow, partial key replacement attack, security models, certificateless cryptography, KGC","",""
