,Title,Authors,Source title,Year,DOI,Abstract
10,barrier certificate based safe control for lidar-based systems under sensor faults and attacks,H. Zhang; S. Cheng; L. Niu; A. Clark,2022 IEEE 61st Conference on Decision and Control (CDC),2022,10.1109/CDC51059.2022.9992432,"Autonomous Cyber-Physical Systems (CPS) fuse proprioceptive sensors such as GPS and exteroceptive sensors including Light Detection and Ranging (LiDAR) and cameras for state estimation and environmental observation. It has been shown that both types of sensors can be compromised by malicious attacks, leading to unacceptable safety violations. We study the problem of safety-critical control of a LiDAR-based system under sensor faults and attacks. We propose a framework consisting of fault tolerant estimation and fault tolerant control. The former reconstructs a LiDAR scan with state estimations, and excludes the possible faulty estimations that are not aligned with LiDAR measurements. We also verify the correctness of LiDAR scans by comparing them with the reconstructed ones and removing the possibly compromised sector in the scan. Fault tolerant control computes a control signal with the remaining estimations at each time step. We prove that the synthesized control input guarantees system safety using control barrier certificates. We validate our proposed framework using a UAV delivery system in an urban environment. We show that our proposed approach guarantees safety for the UAV whereas a baseline fails."
11,certificateless linkable ring signature-based blockchains for securing cognitive radio networks,Duraisamy A.K.; Ramaraj R.G.; Manoharan M.; Alagarsamy M.,Concurrency and Computation: Practice and Experience,2022,10.1002/cpe.7235,"Rapid advancement in industrial applications of Internet of Things (IoT) has dramatically increased the number of Internet connected devices resulting in big challenges of scalability, adaptability, connectivity, and accessibility. Cognitive radio is efficient in handling spectrum allocation problem by facilitating the allocation of unlicensed spectrum dynamically to the IoT applications. However, cognitive radio network (CRN) capability of spectrum sensing is highly vulnerable to diversified number of security attacks. Malicious user disturbs the spectrum sensing potential and minimizes its accuracy by launching attacks during the detection of primary signal. In this article, certificateless linkable ring signature-based blockchains (CLRSB) is proposed for securing CRNs by achieving reliable discrimination between trustworthy users through cryptographic keys. It initially transformed the complete set of users such as PUs and SUs into the structure of blocks representing the smart contracts-based traditional public ledger blockchain that gets integrated to form a decentralized network for attaining improvement in efficient spectrum sensing. It adopted a mayfly optimization algorithm (MFOA)-improved CNN (MFOA-ICNN)-based spectrum sensing method for preventing the interference between PUs and SUs during spectrum access. It also used MFOA for optimizing the features with balanced trade-off between exploration and exploitation to identify the remarkable features that attributes toward efficient spectrum sensing. It specifically used CLRS for protecting information about the transaction initiator for the objective of protecting blockchain privacy. Simulation experiments of this CLRSB confirmed better response time and minimized frame loss on an average by 18.13% and 17.81%, better than the baseline schemes used for investigation. © 2022 John Wiley & Sons, Ltd."
12,identifying the phishing websites using the patterns of tls certificates,Sakurai Y.; Watanabe T.; Okuda T.; Akiyama M.; Mori T.,Journal of Cyber Security and Mobility,2021,10.13052/jcsm2245-1439.1026,"With the recent rise of HTTPS adoption on the Web, attackers have begun “HTTPSifying” phishing websites. HTTPSifying a phishing website has the advantage of making the website appear legitimate and evading conventional detection methods that leverage URLs or web contents in the network. Further, adopting HTTPS could also contribute to generating intrinsic footprints and provide defenders with a great opportunity to monitor and detect websites, including phishing sites, as they would need to obtain a public-key certificate issued for the preparation of the websites. The potential benefits of certificate-based detection include (1) the comprehensive monitoring of all HTTPSified websites by using certificates immediately after their issuance, even if the attacker utilizes dynamic DNS (DDNS) or hosting services; this could be overlooked with the conventional domain-registration-based approaches; and (2) to detect phishing websites before they are published on the Internet. Accordingly, we address the following research question: How can we make use of the footprints of TLS certificates to defend against phishing attacks? For this, we collected a large set of TLS certificates corresponding to phishing websites from Certificate Transparency (CT) logs and extensively analyzed these TLS certificates. We demonstrated that a template of common names, which are equivalent to the fully qualified domain names, obtained through the clustering analysis of the certificates can be used for the following promising applications: (1) The discovery of previously unknown phishing websites and (2) understanding the infrastructure used to generate the phishing websites. Furthermore, we developed a real-time monitoring system using the analysis techniques. We demonstrate its usefulness for the practical security operation. We use our findings on the abuse of free certificate authorities (CAs) for operating HTTPSified phishing websites to discuss possible solutions against such abuse and provide a recommendation to the CAs. © 2021. River Publishers. All Rights Reserved."
13,sybil attack detection based on authentication process using digital security certificate procedure for data transmission in manet,Muthusamy P.; Sheela T.,International Journal of Engineering and Technology(UAE),2018,,"Mobile devices are becoming very popular due to the wide range of networking competence for the mobile device users. The security issues in MANET become the control towards the management of the multiple numbers of nodes in the MANET is distributed. To strategy for overcome the Sybil attack in MANET and improve the efficiency of the Sybil attack detection by enhancing the data confidentiality and reliability. The primary objective of this research work is to develop a scheme to detect and prevent the Sybil attack in the MANET and to provide a highly reliable data transmission approach. The proposed system ensures the availability, confidentiality, authenticity and reliability of the information using digital certificate chains and secret sharing schemes. To detect the sybil node during the route discovery process, the nodes authenticate each other by providing the digital security certificate (DSC). The digital security certificate proves the nodes and allows only authorized node to participate in the route to transmit the data packets from the source to destination. It will not ensure the confidential data transmission when the legitimate node exhibits the malicious behavior in certain circumstances. When any intermediate nodes learn about the data packet that is being transmitted, then the security in data transmission becomes a critical factor. The safety of the network can be enhanced by preventing the sybil attack in MANET by increasing the data confidentiality and reliability. Only certified and authenticated nodes can participate in the route to transfer the data packets between the nodes. To prevent the sybil attack, it is necessary to secure the data that is transmitted over the insecure communication routes. © 2018 Authors."
14,trust based certificate authority for detection of malicious nodes in manet,Manoj V.; Raghavendiran N.; Aaqib M.; Vijayan R.,Communications in Computer and Information Science,2012,10.1007/978-3-642-29219-4_46,"In MANET, mobile nodes are prone to various security attacks due to their dynamic changing topology, open medium and are constrained by limited energy, bandwidth and computational power. Most of the currently existing security algorithms designed for these MANETs are insecure, inefficient, and have low detection accuracy for nodes misbehavior. A novel trust based Certificate Authority concept is introduced to transmit data packets only through trusted nodes and isolate malicious nodes in the MANET. The proposed trust management scheme incorporates battery power consumption and packet integrity aspect in addition to direct and indirect trust values. Experimental results are presented with Qualnet Simulator 5.0. The proposed framework has shown better results in detecting malicious nodes and building a secure network. © 2012 Springer-Verlag."
15,malicious ssl certificate detection: a step towards advanced persistent threat defence,Ghafir I.; Prenosil V.; Hammoudeh M.; Han L.; Raza U.,ACM International Conference Proceeding Series,2017,10.1145/3102304.3102331,"Advanced Persistent Threat (APT) is one of the most serious types of cyber attacks, which is a new and more complex version of multistep attack. Within the APT life cycle, continuous communication between infected hosts and Command and Control (C&C) servers is maintained to instruct and guide the compromised machines. these communications are usually protected by Secure Sockets Layer (SSL) encryption, making it difficult to identify if the traffic directed to sites is malicious. This paper presents a Malicious SSL certificate Detection (MSSLD) module, which aims at detecting the APT C&C communications based on a blacklist of malicious SSL certificates. This blacklist consists of two forms of SSL certificates, the SHA1 fingerprints and the serial & subject, that are associated with malware and malicious activities. In this detection module, the network traffic is processed and all secure connections are filtered. The SSL certificate of each secure connection is then matched with the SSL certificate blacklist. This module was experimentally evaluated and the results show successful detection of malicious SSL certificates. © 2017 Association for Computing Machinery."
16,certrust: an sdn-based framework for the trust of certificates against crossfire attacks in iot scenarios,Yan L.; Ma M.; Li D.; Huang X.; Ma Y.; Xie K.,CMES - Computer Modeling in Engineering and Sciences,2023,10.32604/cmes.2022.022462,"The low-intensity attack flows used by Crossfire attacks are hard to distinguish from legitimate flows. Traditional methods to identify the malicious flows in Crossfire attacks are rerouting, which is based on statistics. In these existing mechanisms, the identification of malicious flows depends on the IP address. However, the IP address is easy to be changed by attacks. Compared with the IP address, the certificate is more challenging to be tampered with or forged. Moreover, the traffic trend in the network is towards encryption. The certificates are popularly utilized by IoT devices for authentication in encryption protocols. DTLShps proposed a new way to verify certificates for resource-constrained IoT devices by using the SDN controller. Based on DTLShps, the SDN controller can collect statistics on certificates. In this paper, we propose Certrust, a framework based on the trust of certificates, to mitigate the Crossfire attack by using SDN for IoT. Our goal is threefold. First, the trust model is built based on the Bayesian trust system with the statistics on the participation of certificates in each Crossfire attack. Moreover, the forgetting curve is utilized instead of the traditional decay method in the Bayesian trust system for achieving a moderate decay rate. Second, for detecting the Crossfire attack accurately, a method based on graph connectivity is proposed. Third, several trust-based routing principles are proposed to mitigate the Crossfire attack. These principles can also encourage users to use certificates in communication. The performance evaluation shows that Certrust is more effective in mitigating the Crossfire attack than the traditional rerouting schemes. Moreover, our trust model has a more appropriate decay rate than the traditional methods. © 2023 Tech Science Press. All rights reserved."
17,machine learning-based malicious x.509 certificates’ detection,Li J.; Zhang Z.; Guo C.,Applied Sciences (Switzerland),2021,10.3390/app11052164,"X.509 certificates play an important role in encrypting the transmission of data on both sides under HTTPS. With the popularization of X.509 certificates, more and more criminals leverage certificates to prevent their communications from being exposed by malicious traffic analysis tools. Phishing sites and malware are good examples. Those X.509 certificates found in phishing sites or malware are called malicious X.509 certificates. This paper applies different machine learning models, including classical machine learning models, ensemble learning models, and deep learning models, to distinguish between malicious certificates and benign certificates with Verification for Extraction (VFE). The VFE is a system we design and implement for obtaining plentiful characteristics of certificates. The result shows that ensemble learning models are the most stable and efficient models with an average accuracy of 95.9%, which outperforms many previous works. In addition, we obtain an SVM-based detection model with an accuracy of 98.2%, which is the highest accuracy. The outcome indicates the VFE is capable of capturing essential and crucial characteristics of malicious X.509 certificates. © 2021 by the authors. Licensee MDPI, Basel, Switzerland."
18,certificate revocation schemes for providing secure qos in manets,Sahana D.S.; Gopala krishnan C.,Concurrency and Computation: Practice and Experience,2023,10.1002/cpe.7524,"Due to crucial exchange issues, security in mobile ad hoc networks (MANETs) is more complicated. It is vital to secure MANET exchanges to ensure the network's services development. In this research, the proposed model focuses on providing trust and certificate-based Malicious Node detection for mobile adhoc networks and improving certificate revocation based on cluster head. The cluster head is crucial in eliminating falsely accused nodes. The malicious node may be easily discovered and isolated from the network using the trusted value. If the trust value falls below the trust threshold value in a trust management, the node is identified as malicious, the certificate is canceled, and the node is isolated from the network. The TSQRS protocol's integration with the CRS scheme was the main emphasis of the suggested model. The proposed model also creates more stable clusters with the help of Trust manager. When compared to other current protocols and methodologies, the findings produced by the suggested approach for the TSQRS-CRS scheme improve performance and stability in the QoS of MANETs. Finally, certain parameters were used to run the simulation, which resulted in an improved Packet Delivery Ratio, Routing Overhead, and reduced Delay. © 2022 John Wiley & Sons, Ltd."
19,phish-hook: detecting phishing certificates using certificate transparency logs,Fasllija E.; Enişer H.F.; Prünster B.,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST",2019,10.1007/978-3-030-37231-6_18,"Certificate misissuance is a growing issue in the context of phishing attacks, as it leads inexperienced users to further trust fraudulent websites, if they are equipped with a technically valid certificate. Certificate Transparency (CT) aims at increasing the visibility of such malicious actions by requiring certificate authorities (CAs) to log every certificate they issue in public, tamper-proof, append-only logs. This work introduces Phish-Hook, a novel approach towards detecting phishing websites based on machine learning. Phish-Hook analyses certificates submitted to the CT system based on a conceptually simple, well-understood classification mechanism to effectively attest the phishing likelihood of newly issued certificates. Phish-Hook relies solely on CT log data and foregoes intricate analyses of websites’ source code and traffic. As a consequence, we are able to provide classification results in near real-time and in a resource-efficient way. Our approach advances the state of the art by classifying websites according to five different incremental certificate risk labels, instead of assigning a binary label. Evaluation results demonstrate the effectiveness of our approach, achieving a success rate of over 90%, while requiring fewer, less complex input data, and delivering results in near real-time. © ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2019."
20,a study on certificate-based trust in manets,Narayan K.G.R.; Rao T.S.; Raju P.P.; Sudhakar P.,Lecture Notes on Data Engineering and Communications Technologies,2018,10.1007/978-981-10-6319-0_4,"Mobile Ad hoc Network (MANET) is a wireless network of mobile nodes or mobile devices are connected without any specific infrastructure; it has the properties of self-configuration and self-maintenance nature, so it does not have any centralized control. The basic requirement for ad hoc network is to provide security. For providing authentication (trust) to the nodes, secure routing is the primary challenge. For improving the security, the most important thing is to examine the trustworthiness of nodes or mobile devices by identifying selfish and malicious nodes in the network. We are using the concept of trust and applying it on popular routing protocols of MANETs like DSR and AODV for providing secure routing. And also we are using the following algorithms, calculation of trust value (level) algorithm, identification of node misbehavior and modification of trust value algorithm, certificate distribution algorithm, and route innovation and maintenance algorithm for all the nodes in the network. Now, our concept of certificate-based trust and algorithms deals with the malicious nodes and provides a high secure routing. © Springer Nature Singapore Pte Ltd. 2018."
21,hunting malicious tls certificates with deep neural networks,Torroledo I.; Camacho L.D.; Bahnsen A.C.,Proceedings of the ACM Conference on Computer and Communications Security,2018,10.1145/3270101.3270105,"Encryption is widely used across the internet to secure communications and ensure that information cannot be intercepted and read by a third party. However, encryption also allows cybercriminals to hide their messages and carry out successful malware attacks while avoiding detection. Further aiding criminals is the fact that web browsers display a green lock symbol in the URL bar when a connection to a website is encrypted. This symbol gives a false sense of security to users, who are in turn more likely to fall victim to phishing attacks. The risk of encrypted traffic means that information security researchers must explore new techniques to detect, classify, and take countermeasures against malicious traffic. So far there exists no approach for TLS detection in the wild. In this paper, we propose a method for identifying malicious use of web certificates using deep neural networks. Our system uses the content of TLS certificates to successfully identify legitimate certificates as well as malicious patterns used by attackers. The results show that our system is capable of identifying malware certificates with an accuracy of 94.87% and phishing certificates with an accuracy of 88.64%. Copyright © 2018 held by the owner/author(s). Publication rights licensed to ACM."
22,can a tls certificate be phishy?,Hageman K.; Kidmose E.; Hansen R.R.; Pedersen J.M.,"Proceedings of the 18th International Conference on Security and Cryptography, SECRYPT 2021",2021,10.5220/0010516600380049,"This paper investigates the potential of using digital certificates for the detection of phishing domains. This i motivated by phishing domains that have started to abuse the (erroneous) trust of the public in browser padloc symbols, and by the large-scale adoption of the Certificate Transparency (CT) framework. This publicl accessible evidence trail of Transport Layer Security (TLS) certificates has made the TLS landscape mor transparent than ever. By comparing samples of phishing, popular benign, and non-popular benign domains we provide insight into the TLS certificates issuance behavior for phishing domains, focusing on the selectio of the certificate authority, the validation level of the certificates, and the phenomenon of certificate sharin among phishing domains. Our results show that phishing domains gravitate to a relatively small selection o certificate authorities, and disproportionally to cPanel, and tend to rely on certificates with a low, and cheap validation level. Additionally, we demonstrate that the vast majority of certificates issued for phishing domain cover more than only phishing domains. These results suggest that a more pro-active role of CAs and puttin more emphasis on certificate revocation can have a crucial impact in the defense against phishing attacks. Copyright © 2021 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved"
23,managing certificate revocation in vanets using hash trees and query frequencies,Martín-Fernández F.; Caballero-Gil P.; Caballero-Gil C.,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2015,10.1007/978-3-319-27340-2_8,"Due to the proliferation of technology in different areas of daily life, many new types of communication networks are emerging. Among the most interesting wireless networks, Vehicular Ad-hoc Networks are remarkable because road safety and traffic efficiency are two advances that any developed society should undertake. Therefore, research on such networks should evolve to take the final step and move from theory to reality. However, first, it is necessary to improve many aspects related to security. In particular, identification and management of malicious users within the network are major research issues. The traditional method using revocation lists to manage these users becomes very inefficient when the network grows. This paper proposes an alternative method to efficiently manage malicious users, which uses hash trees and query frequencies in order to fit better with the needs of Vehicular Ad-hoc Networks. © Springer International Publishing Switzerland 2015."
24,risk rating system of x.509 certificates,Hawanna V.; Kulkarni V.Y.; Rane R.A.; Mestri P.; Panchal S.,Procedia Computer Science,2016,10.1016/j.procs.2016.06.027,"X.509 certificates enable to affirm the distinguishing proof of the parties involved in the communication. As of now, majority of individuals and communities are using X.509 certificates to demonstrate their ID during on-line exchanges, so the unwavering quality and risk level of these certificates come into a question. Hence, we have proposed a framework which assesses risk associated with X.509 Certificates with the help of certain trust criteria and characteristics. For evaluating risk related with certificate we use classification Technique with machine learning algorithm, which categorizes risk of certificate in three levels-High Risk, Medium Risk and Low risk. Our system is useful to find out risk associated with certificate while user carries out important transactions. User needs to input the certificate and system will provide risk associated with that certificate and if it is a high risk or medium risk certificate it will mention due to which parameter it bears risk. Our framework has application in browser-server communication and detecting phishing websites which have Https URLs. © 2016 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license."
25,an enhanced secure identity-based certificateless public key authentication scheme for vehicular sensor networks,Li C.; Zhang X.; Wang H.; Li D.,Sensors (Switzerland),2018,10.3390/s18010194,"Vehicular sensor networks have been widely applied in intelligent traffic systems in recent years. Because of the specificity of vehicular sensor networks, they require an enhanced, secure and efficient authentication scheme. Existing authentication protocols are vulnerable to some problems, such as a high computational overhead with certificate distribution and revocation, strong reliance on tamper-proof devices, limited scalability when building many secure channels, and an inability to detect hardware tampering attacks. In this paper, an improved authentication scheme using certificateless public key cryptography is proposed to address these problems. A security analysis of our scheme shows that our protocol provides an enhanced secure anonymous authentication, which is resilient against major security threats. Furthermore, the proposed scheme reduces the incidence of node compromise and replication attacks. The scheme also provides a malicious-node detection and warning mechanism, which can quickly identify compromised static nodes and immediately alert the administrative department. With performance evaluations, the scheme can obtain better trade-offs between security and efficiency than the well-known available schemes. © 2018 by the authors."
26,risk evaluation of x.509 certificates–a machine learning application,Hawanna V.; Kulkarni V.; Rane R.; Joshi P.,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2016,10.1007/978-3-319-49806-5_20,"X.509 certificates empower to reveal the unique identity of the parties participating in the conversation. Right now, during online exchanges, many people and groups are using X.509 certificates to represent their identity, so the level of excellence and reliability of these certificates become dubious. Hence, we introduced a framework which computes risk associated with X.509 certificates with the assistance of certain trust criteria and attributes. For assessing risk related with certificate, we utilized Random Forest ensemble machine learning algorithm, which categorizes risk in three levels- High, Medium and Low. User needs to input the certificate and the system will predict the risk associated with that certificate. If predicted risk is high or medium, system will specify the parameter due to which it triggers risk. Our framework can be applied in browser-server communication and identifying real-time phishing websites which have Https URLs. © Springer International Publishing AG 2016."
